Library,Group,Version,License
jotm-jms,org.ow2.jotm,2.2.1,BSD-3-Clause
jotm-standalone,org.ow2.jotm,2.2.1,BSD-3-Clause
ow2-connector-1.5-spec,org.ow2.spec.ee,1.0-M1,
ow2-jta-1.1-spec,org.ow2.spec.ee,1.0-M1,
encoder,org.owasp.encoder,1.2.3,BSD-3-Clause
quartz-jobs,org.quartz-scheduler,2.3.2,Apache-2.0
quartz,org.quartz-scheduler,2.3.2,Apache-2.0
reflections,org.reflections,0.10.2,"Apache-2.0, WTFPL"
jcl-over-slf4j,org.slf4j,1.7.21,MIT
slf4j-api,org.slf4j,1.7.21,MIT
slf4j-log4j12,org.slf4j,1.7.21,MIT
spring-security-core,org.springframework.security,3.2.10.RELEASE-MessageDigest,Apache-2.0
spring-js,org.springframework.webflow,2.4.8.RELEASE,Apache-2.0
oro,oro,2.0.8,Apache-2.0
